id,global_efficiency,local_efficiency,degree_assortativity_coefficient,average_clustering,average_shortest_path_length,degree_pearson_correlation_coefficient,graph_number_of_cliques,transitivity,DMN_0_bet_cent,DMN_1_bet_cent,DMN_2_bet_cent,DMN_3_bet_cent,DMN_4_bet_cent,DMN_5_bet_cent,DMN_6_bet_cent,DMN_7_bet_cent,DMN_8_bet_cent,DMN_9_bet_cent,DMN_10_bet_cent,DMN_11_bet_cent,DMN_12_bet_cent,DMN_13_bet_cent,DMN_14_bet_cent,DMN_15_bet_cent,DMN_16_bet_cent,DMN_17_bet_cent,DMN_18_bet_cent,DMN_19_bet_cent,DMN_20_bet_cent,DMN_21_bet_cent,DMN_22_bet_cent,DMN_23_bet_cent,DMN_24_bet_cent,DMN_25_bet_cent,DMN_26_bet_cent,DMN_27_bet_cent,DMN_28_bet_cent,DMN_29_bet_cent,DMN_30_bet_cent,DMN_31_bet_cent,DMN_32_bet_cent,DMN_33_bet_cent,DMN_34_bet_cent,DMN_35_bet_cent,DMN_36_bet_cent,DMN_37_bet_cent,DMN_38_bet_cent,DMN_39_bet_cent,DMN_40_bet_cent,DMN_41_bet_cent,DMN_42_bet_cent,DMN_43_bet_cent,DMN_44_bet_cent,DMN_45_bet_cent,DMN_46_bet_cent,DMN_47_bet_cent,DMN_48_bet_cent,DMN_49_bet_cent,DMN_50_bet_cent,DMN_51_bet_cent,DMN_52_bet_cent,DMN_53_bet_cent,DMN_54_bet_cent,DMN_55_bet_cent,DMN_56_bet_cent
2,0.60286132,0.720954038,0.175372703,0.345931857,1.851503759,0.175372703,219,0.335360738,0.019961616,0.01184619,0.014648356,0.00561106,0.016454741,0.008281513,0.005803969,0.030576067,0.006311924,0.013817104,0.019523749,0.023842419,0.01649533,0.011111001,0.008212303,0.011349187,0.025401035,0.014286085,0.016794483,0.012976436,0.006550958,0.01919428,0.027611516,0.014139795,0.012913041,0.017171003,0.033258343,0.014720571,0.018648705,0.020150065,0.003897165,0.001366162,0.014610705,0.033202154,0.020492022,0.02368855,0.011941532,0.02196014,0.023432242,0.031600216,0.026254538,0.01131206,0.018352192,0.004785976,0.0140941,0.013105221,0.012583073,0.008556189,0.008352154,0.021569458,0.010470049,0.004016876,0.005977911,0.014011664,0.00930837,0.008461064,0.027402904
4,0.577380952,0.740463454,0.166142476,0.372321121,1.950501253,0.166142476,177,0.354721863,0.025645157,0.01750059,0.003140445,0.010729643,0.049964362,0.026751331,0.001832415,0.013430218,0.037449202,0.01907956,0.005598161,0.005047737,0.012741998,0.015929349,0.017996165,0.044093818,0.00738301,0.013369929,0.013490023,0.015627244,0.018895154,0.007862215,0.022629502,0.016766538,0.017586687,0.003717498,0.002972012,0.018920221,0.010023888,0.03713257,0.004641173,0.007792652,0.016347355,0.037946395,0.002479446,0.010512272,0.007672284,0.013818284,0.004270567,0.02060891,0.039665833,0.01359973,0.01135057,0.017391992,0.018440535,0.039353411,0.00555764,0.032087902,0.013446261,0.007687428,0.019303582,0.050150462,0.01214853,0.026889775,0.005177181,0.015585219,0.017832904
7,0.580983709,0.726912486,0.230195483,0.331826491,1.934210526,0.230195483,203,0.331887202,0.008906282,0.027120197,0.002422815,0.00796467,0.007636194,0.029645691,0.001138639,0.015511057,0.010125272,0.028282566,0.025358588,0.0302675,0.035660483,0.008774339,0.022842077,0.033264803,0.01163798,0.041621077,0.011919544,0.013505148,0.042709852,0.025391029,0.006685209,0.016861961,0.01067729,0.03972319,0.020163643,0.018053401,0.034453596,0.01466305,0.010498256,0.022232555,0.007520086,0.015528153,0.012353472,0.021436043,0.025687067,0.00894822,0.026536823,0.008392676,0.028724222,0.005050816,0.019944473,0.022704121,0.002549214,0,0.024079187,0.001883257,0.000494579,0.003790377,0.0192039,0.019210984,0.011184436,0.021276311,0.004257204,0.006021342,0.015686903
8,0.56709482,0.763391582,0.224743048,0.419475791,2.018170426,0.224743048,178,0.396931927,0.014811349,0.011543735,0.008476957,0.012369922,0.029618808,0.041719223,0.000410013,0.00433526,0.045889259,0.028957333,0.02591154,0.016738875,0.032353745,0.017889741,0.011815092,0.023155961,0.000202676,0.016624656,0.031562693,0.045686774,0.017102881,0.037547776,0.015798203,0.006979574,0.015616612,0.019546064,0.009013579,0.044473498,0.03373653,0.009188461,0.009175535,0.043130435,0.007292251,0.006379657,0.034729821,0.021470862,0.01999858,0.034285623,0.014394172,0.006374487,0.00987693,0.010508051,0.014412898,0.005187381,0.00194898,0.018534626,0.002739012,0.007098686,0.006436555,0.00494026,0.060088456,0.003447464,0.001747985,0.034792714,0.006779967,0.016000039,0.024346589
9,0.588972431,0.729258768,0.145078683,0.354777721,1.899749373,0.145078683,169,0.342815815,0.038275835,0.005199718,0.003383488,0.025964999,0.018689299,0.00956427,0.013205769,0.002758487,0.014020185,0.026568901,0.018091907,0.017166615,0.021194695,0.027098114,0.027227588,0.007896984,0.019597898,0.017620574,0.012027559,0.021991965,0.009846795,0.014431183,0.011718979,0.013490757,0.017680055,0.021061362,0.018609924,0.027382256,0.012764666,0.010648772,0.021043324,0.031913456,0.030948268,0.013486432,0.001175126,0.01665963,0.01721887,0.01027457,0.027802961,0.01114343,0.009864271,0.007837047,0.031185902,0.016849953,0.004830679,0.022143505,0.010209118,0.018533219,0.00891417,0.00535992,0.001622791,0.030098185,0.006561942,0.018738405,0.001782769,0.026142895,0.024947091
12,0.585787385,0.713719336,0.171601259,0.304464198,1.901629073,0.171601259,193,0.310582822,0.013812413,0.004206022,0.001254805,0.00858868,0.023361521,0.033750415,0.002894582,0.022660354,0.022934473,0.013388526,0.021874506,0.01648117,0.016799936,0.030376757,0.0107025,0.032192316,0.003341427,0.010618132,0.02338703,0.016072026,0.016925865,0.020132111,0.012024509,0.018790536,0.006454676,0.006587858,0.027285802,0.016375223,0.023073116,0.02453437,0.021517051,0.0144248,0.018284184,0.026426045,0.005006876,0.011869859,0.021585551,0.029988969,0.007440339,0.020223737,0.029134338,0.020915298,0.010159207,0.019034875,0.012269659,0.008170586,0.026717653,0.007686132,0.020648712,0.004710799,0,0.007118092,0.003435425,0.024431725,0.00360942,0.01636557,0.04235903
14,0.588345865,0.712268488,0.090492052,0.296036873,1.895363409,0.090492052,210,0.300876339,0.009400012,0.007865148,0.029620489,0.000989788,0.023929454,0.009312337,0.004155181,0.00339915,0.017347053,0.029747607,0.006618522,0.01067885,0.005435395,0.010621927,0.009906577,0.034396676,0.014754728,0.020707705,0.024608792,0.013669325,0.029982303,0.015976833,0.009529336,0.015550769,0.033294264,0.01084637,0.014471541,0.018091964,0.04010546,0.009350639,0.031562259,0.016779868,0.01325333,0.014818248,0.013185075,0.027612971,0.018826368,0.039448541,0.00761088,0.011476864,0.04531986,0.004928148,0.019924003,0.016602908,0.001861625,0.014802031,0.005737692,0.03388717,0.006679516,0.000225211,0.007396602,0.007565665,0.01594587,0.029399805,0.009526418,0.012100774,0.017080178
16,0.609753551,0.731187421,0.111358862,0.370255142,1.828947368,0.111358862,236,0.359433962,0.008796993,0.012041746,0.000484618,0.007794456,0.040365142,0.019675887,0.004246197,0.00410727,0.00808655,0.018056495,0.008319202,0.039324146,0.016869751,0.001982645,0.010508816,0.011881369,0.013898187,0.029635054,0.004308047,0.020283098,0.049883951,0.011577956,0.020967891,0.016185307,0.024919746,0.016067726,0.019940076,0.026326277,0.019254333,0.01709806,0.02288113,0.014903679,0.011818907,0.011993269,0.019022969,0.017198099,0.01499131,0.006492407,0.018474904,0.012594291,0.015521511,0.010110288,0.017530358,0.008198146,0.005088946,0.001711128,0.019470755,0.006296133,0.014328923,0.006049793,0.014261988,0.016543548,0.012540367,0.024117481,0.01577356,0.01284548,0.005444545
18,0.601503759,0.732348249,0.090290805,0.370068145,1.854636591,0.090290805,209,0.351222545,0.05644065,0.020096242,0.017937021,0.004539267,0.009383305,0.007554386,0.006348934,0.007070779,0.021271318,0.034849987,0.007970366,0.012889708,0.004997431,0.015101779,0.011947516,0.027556764,0.012602026,0.033771276,0.018446584,0.010137562,0.025618502,0.005442995,0.019476719,0.022849851,0.018639221,0.019559728,0.013491872,0.020265679,0.017341464,0.005313056,0.022304223,0.023147863,0.003719708,0.009207209,0,0.025180357,0.017495355,0.017262414,0.019755491,0.013131103,0.009838737,0.018036664,0.018795542,0.016805118,0.007953833,0.006321815,0.020338473,0.028436476,0.001982132,0.005637773,0.002807929,0.014481176,0.025467563,0.011525854,0.004721842,0.02755818,0.004889469
20,0.583437761,0.734732654,0.108985114,0.344277576,1.921679198,0.108985114,172,0.343130051,0.024102645,0.018822825,0.013722706,0.006195015,0.0168762,0.011648691,0,0.003681355,0.010878749,0.037412886,0.020828643,0.009234867,0.005930468,0.010399286,0.02471791,0.036939861,0.015396667,0.028888441,0.025283449,0.021057029,0.008585519,0.016796069,0.076833798,0.013136146,0.006270646,0.014505552,0.009139741,0.025796579,0.037392797,0.020339418,0.004193736,0.009161166,0.007803523,0.016389477,0.002635471,0.020970006,0.014628088,0.013542464,0.006724889,0.053772267,0.019110914,0.015519839,0.01282644,0.028739206,0.005699001,0.018336397,0.000273371,0.007572964,0.013041852,0.015885886,0.004289027,0.014209592,0.020551489,0.017105948,0.007442125,0.01020526,0.023750454
