# Generated from atlas label .xml files distributed with FSL
# http://fsl.fmrib.ox.ac.uk/fsl/fslwiki/
0,*.*.*.*.*
1,Left Cerebellum.Posterior Lobe.Inferior Semi-Lunar Lobule.Gray Matter.*
2,Right Cerebellum.Posterior Lobe.Inferior Semi-Lunar Lobule.Gray Matter.*
3,Left Cerebellum.Posterior Lobe.Cerebellar Tonsil.Gray Matter.*
4,Right Cerebellum.Posterior Lobe.Cerebellar Tonsil.Gray Matter.*
5,Left Brainstem.Medulla.*.*.*
6,Right Brainstem.Medulla.*.*.*
7,*.*.Inferior Temporal Gyrus.*.*
8,Left Cerebrum.Temporal Lobe.Inferior Temporal Gyrus.Gray Matter.Brodmann area 20
9,Left Cerebrum.Temporal Lobe.Inferior Temporal Gyrus.*.*
10,Left Cerebrum.Temporal Lobe.*.*.*
11,Right Cerebrum.Temporal Lobe.*.*.*
12,Right Cerebrum.Temporal Lobe.Inferior Temporal Gyrus.*.*
13,Right Cerebrum.Temporal Lobe.Inferior Temporal Gyrus.Gray Matter.Brodmann area 20
14,Left Cerebrum.Temporal Lobe.Inferior Temporal Gyrus.White Matter.*
15,Left Cerebrum.Limbic Lobe.Inferior Temporal Gyrus.Gray Matter.Brodmann area 20
16,Left Cerebrum.Limbic Lobe.Uncus.Gray Matter.Brodmann area 20
17,Left Cerebrum.Limbic Lobe.Uncus.*.*
18,Right Cerebrum.Limbic Lobe.Uncus.Gray Matter.Brodmann area 20
19,Right Cerebrum.Limbic Lobe.Inferior Temporal Gyrus.Gray Matter.Brodmann area 20
20,Right Cerebrum.Temporal Lobe.Inferior Temporal Gyrus.White Matter.*
21,Left Cerebrum.Limbic Lobe.*.*.*
22,Right Cerebrum.Limbic Lobe.*.*.*
23,Left Cerebrum.Temporal Lobe.Middle Temporal Gyrus.Gray Matter.Brodmann area 20
24,Left Cerebrum.Temporal Lobe.Middle Temporal Gyrus.White Matter.*
25,Left Cerebrum.Limbic Lobe.Uncus.White Matter.*
26,Right Cerebrum.Limbic Lobe.*.Gray Matter.Brodmann area 20
27,Right Cerebrum.Limbic Lobe.Uncus.White Matter.*
28,Right Cerebrum.Temporal Lobe.Middle Temporal Gyrus.White Matter.*
29,Right Cerebrum.Temporal Lobe.Middle Temporal Gyrus.Gray Matter.Brodmann area 20
30,Right Cerebrum.Temporal Lobe.Middle Temporal Gyrus.*.*
31,Right Cerebrum.Limbic Lobe.Uncus.*.*
32,Left Cerebrum.Temporal Lobe.Middle Temporal Gyrus.*.*
33,Left Cerebrum.Temporal Lobe.Middle Temporal Gyrus.Gray Matter.Brodmann area 38
34,Left Cerebrum.Limbic Lobe.Uncus.Gray Matter.Brodmann area 38
35,Right Cerebrum.Limbic Lobe.Uncus.Gray Matter.Brodmann area 38
36,Right Cerebrum.Temporal Lobe.Middle Temporal Gyrus.Gray Matter.Brodmann area 38
37,Left Cerebrum.Limbic Lobe.Middle Temporal Gyrus.White Matter.*
38,Left Cerebrum.Temporal Lobe.Superior Temporal Gyrus.Gray Matter.Brodmann area 38
39,Left Cerebrum.Temporal Lobe.Superior Temporal Gyrus.White Matter.*
40,Left Cerebrum.Temporal Lobe.Superior Temporal Gyrus.*.*
41,Right Cerebrum.Temporal Lobe.Superior Temporal Gyrus.Gray Matter.Brodmann area 38
42,Right Cerebrum.Temporal Lobe.Superior Temporal Gyrus.White Matter.*
43,Right Cerebrum.Temporal Lobe.Superior Temporal Gyrus.*.*
44,Right Cerebrum.Temporal Lobe.*.Gray Matter.Brodmann area 38
45,Left Cerebrum.Temporal Lobe.*.Gray Matter.Brodmann area 38
46,Right Cerebrum.Frontal Lobe.Inferior Temporal Gyrus.Gray Matter.Brodmann area 20
47,Right Cerebrum.*.Inferior Temporal Gyrus.*.*
48,Right Cerebrum.*.*.*.*
49,Left Cerebrum.Limbic Lobe.Inferior Temporal Gyrus.White Matter.*
