# Generated from atlas label .xml files distributed with FSL
# http://fsl.fmrib.ox.ac.uk/fsl/fslwiki/
2,Left Cerebral White Matter
3,Left Cerebral Cortex 
4,Left Lateral Ventrical
10,Left Thalamus
11,Left Caudate
12,Left Putamen
13,Left Pallidum
16,Brain-Stem
17,Left Hippocampus
18,Left Amygdala
26,Left Accumbens
41,Right Cerebral White Matter
42,Right Cerebral Cortex 
43,Right Lateral Ventricle
49,Right Thalamus
50,Right Caudate
51,Right Putamen
52,Right Pallidum
53,Right Hippocampus
54,Right Amygdala
58,Right Accumbens
